Item,URL,Price,Size,Quantity,Section,Gender,SKU,Last Price,Lowest Price,Highest Price, Image URL
OFF-WHITE\xe2\x84\xa2 Shorts &amp; Bermuda Black 100% Polyester,https://www.yoox.com/us/13840553QD/item#dept=clothingmen,144.0,XS,17,clothing,men,13840553QD,201.0,144.0,227,https://www.yoox.com/images/items/13/13840553QD_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
DOLCE &amp; GABBANA Laced shoes Lead Soft Leather,https://www.yoox.com/us/11034665CU/item#dept=shoesmen,501.0,8,13,shoes,men,11034665CU,570.0,353.0,570,https://www.yoox.com/images/items/11/11034665CU_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
OFF-WHITE\xe2\x84\xa2 Casual pants Black Polyamide,https://www.yoox.com/us/13622623MW/item#dept=clothingmen,422,S,1,clothing,men,13622623MW,422,422,422,https://www.yoox.com/images/items/13/13622623MW_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
OFF-WHITE\xe2\x84\xa2 Denim jacket Blue 100% Cotton,https://www.yoox.com/us/16148698TI/item#dept=clothingmen,468,XXS,0,clothing,men,16148698TI,468,468,468,https://www.yoox.com/images/items/16/16148698TI_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Denim pants Black 65% Polyester, 35% Cotton",https://www.yoox.com/us/42834609EE/item#dept=clothingmen,403.0,30,5,clothing,men,42834609EE,282.0,282.0,403,https://www.yoox.com/images/items/42/42834609EE_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Denim pants Blue 46% Cotton, 46% Viscose, 8% Polyester",https://www.yoox.com/us/13646889BF/item#dept=clothingmen,196.0,30,0,clothing,men,13646889BF,239,196.0,239,https://www.yoox.com/images/items/13/13646889BF_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
OFF-WHITE\xe2\x84\xa2 Denim pants Blue 100% Cotton,https://www.yoox.com/us/13889387FV/item#dept=clothingmen,435.0,30,14,clothing,men,13889387FV,495.0,346.0,495,https://www.yoox.com/images/items/13/13889387FV_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Sweater Ocher 58% Wool, 39% Polyamide, 3% Cotton, Polyester",https://www.yoox.com/us/14062112KP/item#dept=clothingmen,"1,200.00",S,2,clothing,men,14062112KP,"1,200.00","1,200.00","1,200.00",https://www.yoox.com/images/items/14/14062112KP_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Casual pants Azure 58% Polyamide, 38% Cotton, 4% Elastane",https://www.yoox.com/us/13888412QF/item#dept=clothingmen,345.0,XS,4,clothing,men,13888412QF,393.0,275.0,393,https://www.yoox.com/images/items/13/13888412QF_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Jacket Military green 100% Cotton, Polyester",https://www.yoox.com/us/16079488XM/item#dept=clothingmen,729,XS,1,clothing,men,16079488XM,729,729,729,https://www.yoox.com/images/items/16/16079488XM_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"OFF-WHITE\xe2\x84\xa2 Jacket Grey 100% Cotton, Polyester",https://www.yoox.com/us/16079488KJ/item#dept=clothingmen,729,S,1,clothing,men,16079488KJ,729,729,729,https://www.yoox.com/images/items/16/16079488KJ_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
SAINT LAURENT Sweatshirt Apricot 100% Cotton,https://www.yoox.com/us/12532108FG/item#dept=clothingmen,395.00,S,1,clothing,men,12532108FG,395.00,395.00,395.00,https://www.yoox.com/images/items/12/12532108FG_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
GUCCI Casual pants Military green 100% Cotton,https://www.yoox.com/us/13206456PP/item#dept=clothingmen,520.00,30,0,clothing,men,13206456PP,520.00,520.00,520.00,https://www.yoox.com/images/items/13/13206456PP_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"GUCCI Denim pants Blue 100% Cotton, Calfskin, Polyester",https://www.yoox.com/us/42814248JQ/item#dept=clothingmen,790.00,30,2,clothing,men,42814248JQ,790.00,790.00,790.00,https://www.yoox.com/images/items/42/42814248JQ_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
POLO RALPH LAUREN Sleepwear SLIM FIT SLEEP SHORT\n Black 100% Cotton,https://www.yoox.com/us/48243446DL/item#dept=clothingmen,35.0,S,3,clothing,men,48243446DL,22.0,22.0,35.00,https://www.yoox.com/images/items/48/48243446DL_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
POLO RALPH LAUREN Patterned shirt CLASSIC FIT FLORAL-PRINT CAMP SHIRT\n Blue 100% Cotton,https://www.yoox.com/us/12760114QJ/item#dept=clothingmen,98.00,S,2,clothing,men,12760114QJ,98.00,98.00,98.00,https://www.yoox.com/images/items/12/12760114QJ_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
"BALENCIAGA Sweater Lead 100% Cotton, Virgin Wool",https://www.yoox.com/us/14201915LT/item#dept=clothingmen,"1,234.00",S,4,clothing,men,14201915LT,"1,234.00","1,234.00","1,234.00",https://www.yoox.com/images/items/14/14201915LT_14_f.jpg?impolicy=crop&amp;width=387&amp;height=490
